country,respondent_id,age,urban_rural,income_level,sex,marital_status,education,life_satisfaction,freedom_of_choice,emancipative_values,trust_people,importance_of_god,financial_satisfaction,secular_values
Turkey,792000001,46.0,Urban,Medium,Female,Married,Middle,9.0,7.0,0.285920,Trusted,10.0,6.0,0.235389
Turkey,792000002,32.0,Rural,Medium,Male,Married,Lower,3.0,1.0,0.327541,Not trusted,8.0,1.0,0.097973
Turkey,792000003,56.0,Urban,Medium,Male,Married,Lower,4.0,4.0,0.388959,Not trusted,9.0,3.0,0.223663
Turkey,792000004,29.0,Rural,High,Female,Single,Middle,6.0,8.0,0.228871,Trusted,5.0,5.0,0.331879
Turkey,792000005,53.0,Rural,Medium,Male,Married,Lower,6.0,3.0,0.250200,Not trusted,10.0,6.0,0.017027
Turkey,792000006,45.0,Urban,Medium,Male,Single,Lower,7.0,9.0,0.459496,Not trusted,7.0,7.0,0.472535
Turkey,792000007,31.0,Rural,Medium,Female,Married,Lower,4.0,7.0,0.556704,Not trusted,10.0,5.0,0.234418
Turkey,792000008,45.0,Urban,High,Female,Single,Middle,10.0,3.0,0.434584,Not trusted,8.0,8.0,0.067149
Turkey,792000009,35.0,Rural,Medium,Male,Married,Higher,6.0,5.0,0.326069,Trusted,10.0,5.0,0.305133
Turkey,792000010,39.0,Urban,Medium,Male,Married,Lower,7.0,6.0,0.178266,Not trusted,10.0,6.0,0.123318
Turkey,792000011,22.0,Urban,Medium,Male,Married,Lower,5.0,6.0,0.426329,Trusted,9.0,6.0,0.288883
Turkey,792000012,20.0,Urban,Medium,Female,Married,Middle,10.0,8.0,0.364906,Not trusted,6.0,10.0,0.383874
Turkey,792000013,55.0,Urban,Medium,Female,Married,Middle,3.0,6.0,0.801458,Not trusted,5.0,5.0,0.401976
Turkey,792000014,21.0,Urban,Medium,Female,Married,Lower,8.0,5.0,0.567680,Not trusted,6.0,8.0,0.199262
Turkey,792000015,42.0,Rural,High,Female,Married,Lower,7.0,8.0,0.436138,Not trusted,5.0,8.0,0.441021
Turkey,792000016,43.0,Urban,,Male,Married,Lower,7.0,8.0,0.246836,Trusted,10.0,4.0,0.254523
Turkey,792000017,25.0,Urban,Medium,Male,Married,Higher,6.0,8.0,0.465216,Trusted,10.0,5.0,0.103151
Turkey,792000018,25.0,Urban,Medium,Female,Married,Lower,7.0,7.0,0.468587,Not trusted,10.0,5.0,0.615062
Turkey,792000019,49.0,Urban,Medium,Male,Married,Lower,7.0,6.0,0.405967,,8.0,5.0,0.116490
Turkey,792000020,32.0,Rural,Medium,Male,Married,Middle,5.0,7.0,0.439321,Not trusted,9.0,6.0,0.153364
Turkey,792000021,45.0,Urban,Medium,Male,Single,Higher,8.0,5.0,0.237006,Not trusted,10.0,8.0,0.690990
